address,id,inspector,comment,number,x,y,visitors,Name
"Külitse alevik, Kambja vald, Tartu maakond",326,Margit Matt,,EEVTA2023MM0069,6468819,652111,,Külitse paisjärve supluskoht
"Kunda linn, Viru-Nigula vald, Lääne-Viru maakond",105,Liisu Tamm,,EEVLV2023ANNAK0027,6600799.611,643641.711,2500,Kunda supluskoht
"Kuremaa alevik, Jõgeva vald, Jõgeva maakond",67,Margit Matt,,EEVJO2023KAL0166,6513186.561,646697.138,,Kuremaa rand
"Kuressaare linn, Saaremaa vald, Saare maakond",133,Urve Raag,,EEVSA2023UR0100,6457070.81,410580.402,150,Kuressaare supelrand
"Kurgjärve küla, Rõuge vald, Võru maakond",177,,,VVO2023ILIN0018L,6401858.83,679359.27,30,Kurgjärve Spordibaasi supluskoht
"Lasva järv, Lasva küla, Võru vald, Võru maakond",215,,,EEVVO2023ILIN0016,6417536.38,688429.97,25,Lasva järv
"Laulasmaa küla, Lääne-Harju vald, Harju maakond",112,Jelena Gromova,,,6581803.735,513373.77,1000,Laulasmaa rand
"Paldiski linn, Lääne-Harju vald, Harju maakond",195,,,,6581058.072,507987.872,,Leetse rand
"Liimala küla, Lüganuse vald, Ida-Viru maakond",132,,,VXX2023TU0803,6592433.936,669553.07,100,Liimala supluskoht
"Hiiumaa vald, Hiiu maakond",143,Kaia Adelman,,EEVHI2023KAI0020,6508795.23,412182.615,60,Liivalauka supluskoht
"Lohusalu küla, Lääne-Harju vald, Harju maakond",113,Jelena Gromova,,,6584102.405,512201.807,1000,Lohusalu rand
"Tallinna tn 45, Loksa linn",153,Jelena Gromova,,,6605848.686,596516.578,,Loksa rand
"Kõrgessaare alevik, Hiiumaa vald, Hiiu maakond",144,Kaia Adelman,,EEVHI2023KK0032,6533992.911,407221.139,250,Luidja supluskoht
"Aedniku tn 18, 62222 Luunja alevik, Luunja vald, Tartu maakond",378,Margit Matt,,EEVTA2023MM0067,6471948,668735,,Luunja jõesadama puhkeala supluskoht
Maardu linn,116,Jelena Gromova,,,6590731.435,556407.931,600,Maardu järve rand
"Maidla küla, Saue vald, Harju maakond",221,,,EEVHA2023APL0343,6563587.546,533184.349,,Maidla järv
"Pärnu linn, Pärnu linn",138,Reelika Tammai,,,6469629.861,530766.623,250,Mai rand
"Mändjala küla, Saaremaa vald, Saare maakond",135,,,EEVSA2023UR0099,6453522,401343,300,Mändjala supelrand
Hiiu maakond,163,Tiina Vainomäe,,EEVHI2023KK0033,6544789.442,418120.562,,Mangu supluskoht
"Viljandi vald, Viljandi maakond",187,,,EEVVI2017PLR0210,6468546.147,585795.513,,Männa tehisjärve supluskoht
"Männiku küla, Saku vald, Harju maakond",219,,,,6578765.979,540343.79,,Männiku järv
"Võõbu küla, Paide linn",101,Laura Kikkas,,,6547908.785,586790.628,20,Matsimäe Pühajärv
"Meremõisa küla, Lääne-Harju vald, Harju maakond",222,,,,6584684.712,514225.17,,Meremõisa rand
Narva linn,81,Jelena Dmitrijeva,,,6589114.819,738770.621,1000,Narva Joaoru rand
"Narva-Jõesuu linn, Narva-Jõesuu linn",80,Anna Kalinina,,VXX2023TU0808,6597519.642,728134.419,1000,Narva-Jõesuu supelrand
"Anija vald, Harju maakond",89,Jelena Gromova,,,6571707.871,592901.136,100,Nikerjärve rand
"Puhkeala, Nina küla, Peipsiääre vald, Tartu maakond",239,,,,6501232.72,685888.22,,"Nina küla, Puhkeala, supluskoht"
"Kurtna küla, Alutaguse vald, Ida-Viru maakond",130,,,EEVIV2016LR0052,6572687.572,702518.31,,Nõmme järve supluskoht
"Nõo alevik, Nõo vald, Tartu maakond",60,Väino Ratasepp,,,6462066.817,648068.184,60,Nõo Veskijärv
