,name,type,wikipedia,abbrev,geometry
151,Chicago Midway Int'l,major,http://en.wikipedia.org/wiki/Chicago_Midway_International_Airport,MDW,POINT (-87.74212668856121 41.78834925974092)
152,Eloy Alfaro Int'l,mid and military,http://en.wikipedia.org/wiki/Manta_Air_Base,MEC,POINT (-80.68338459957742 -0.9495570021128831)
153,Montgomery Reg.,major,http://en.wikipedia.org/wiki/Montgomery_Regional_Airport,MGM,POINT (-86.39030746026862 32.304587990963064)
154,Manchester-Boston Reg.,major,http://en.wikipedia.org/wiki/Manchester-Boston_Regional_Airport,MHT,POINT (-71.43752390918567 42.92791399458855)
155,Maiduguri Int'l,mid,http://en.wikipedia.org/wiki/Maiduguri_International_Airport,DNMA,POINT (13.085139016247085 11.853471318852687)
156,Mbuji Mayi,mid,http://en.wikipedia.org/wiki/Mbuji_Mayi_Airport,MJM,POINT (23.572109198905228 -6.1248454134881145)
157,Minot Int'l,mid,http://en.wikipedia.org/wiki/Minot_International_Airport,MOT,POINT (-101.29138553129988 48.25560492128391)
158,Missoula Int'l,mid,http://en.wikipedia.org/wiki/Missoula_International_Airport,MSO,POINT (-114.08369492365063 46.91876047688307)
159,Gen R.S. Taboada Int'l,mid,http://en.wikipedia.org/wiki/General_Rodolfo_S%C3%A1nchez_Taboada_International_Airport,MXL,POINT (-115.24787404784124 32.628564332460684)
160,Malpensa,major,http://en.wikipedia.org/wiki/Malpensa_Airport,MXP,POINT (8.712959535024368 45.62744051403809)
161,Norfolk Island,mid,http://en.wikipedia.org/wiki/Norfolk_Island_Airport,NLK,POINT (167.94339411620473 -29.035159255527493)
162,Nurnberg,major,http://en.wikipedia.org/wiki/Nuremberg_Airport,NUE,POINT (11.077417973909556 49.49450521703445)
163,Odessa Int'l,major,http://en.wikipedia.org/wiki/Odessa_International_Airport,ODS,POINT (30.676830831020588 46.44062687591064)
164,Gold Coast,mid,http://en.wikipedia.org/wiki/Gold_Coast_Airport,OOL,POINT (153.5128762643033 -28.166516854020163)
165,Oran Es Senia,mid,http://en.wikipedia.org/wiki/Oran_Es_S%C3%A9nia_Airport,ORN,POINT (-0.6067969644311196 35.62027473127345)
166,Lok Nayak Jaiprakash,mid,http://en.wikipedia.org/wiki/Lok_Nayak_Jayaprakash_Airport,PAT,POINT (85.09090213146632 25.594443429560453)
167,Paysandu,mid,http://en.wikipedia.org/wiki/Paysand%C3%BA_Airport,PDU,POINT (-58.0685346825257 -32.36145452927226)
168,Paphos Int'l,major,http://en.wikipedia.org/wiki/Paphos_International_Airport,PFO,POINT (32.483232206492644 34.71340128173351)
169,Sultan Mahmud Badaruddin II,mid,http://en.wikipedia.org/wiki/Sultan_Mahmud_Badaruddin_II_Airport,PLM,POINT (104.69912832676162 -2.899993450059967)
170,Polokwane Int'l,mid,http://en.wikipedia.org/wiki/Polokwane_International_Airport,PTG,POINT (29.45334036456435 -23.858986270165953)
171,Punta Cana,mid,http://en.wikipedia.org/wiki/Punta_Cana_International_Airport,PUJ,POINT (-68.3632351074649 18.56303903398704)
172,Queretaro Int'l,mid,http://en.wikipedia.org/wiki/Quer%C3%A9taro_International_Airport,QRO,POINT (-100.18735943002979 20.62246607127796)
173,Rajkot,mid,http://en.wikipedia.org/wiki/Rajkot_Airport,RAJ,POINT (70.7799548311565 22.309281698836052)
174,Richmond Int'l,major,http://en.wikipedia.org/wiki/Richmond_International_Airport,RIC,POINT (-77.33311963811302 37.50828997509012)
175,Shah Makhdum,mid,http://en.wikipedia.org/wiki/Shah_Makhdum_Airport,RJH,POINT (88.61380457044305 24.44480686230351)
176,Greater Rochester Int'l,major,http://en.wikipedia.org/wiki/Greater_Rochester_International_Airport,ROC,POINT (-77.66524450621966 43.127551982648235)
177,Rockhampton,mid,http://en.wikipedia.org/wiki/Rockhampton_Airport,ROK,POINT (150.478897 -23.378599)
178,Rostov-on-Don,mid,http://en.wikipedia.org/wiki/Rostov-on-Don_Airport,ROV,POINT (39.80351444453908 47.255111951975394)
179,Saratov,mid,http://en.wikipedia.org/wiki/Saratov_Tsentralny_Airport,RTW,POINT (46.03502324989101 51.560645650884204)
180,Ramón Villeda Morales Int'l,mid,http://en.wikipedia.org/wiki/Ram%C3%B3n_Villeda_Morales_International_Airport,SAP,POINT (-87.92723651254093 15.455863052488276)
181,Santa Barbara Muni.,mid,http://en.wikipedia.org/wiki/Santa_Barbara_Airport,SBA,POINT (-119.83660158079981 34.42573129787832)
182,Deadhorse,mid,http://en.wikipedia.org/wiki/Deadhorse_Airport,SCC,POINT (-148.457855 70.19751)
183,Kangerlussuaq,mid,http://en.wikipedia.org/wiki/Kangerlussuaq_Airport,SFJ,POINT (-50.694199 67.018097)
184,Springfield Reg.,major,http://en.wikipedia.org/wiki/Springfield/Branson_National_Airport,SGF,POINT (-93.3826379012003 37.24214449030243)
185,Shreveport Reg.,major,http://en.wikipedia.org/wiki/Shreveport_Regional_Airport,SHV,POINT (-93.82852222295027 32.45457988665127)
186,Simferopol Int'l,major,http://en.wikipedia.org/wiki/Simferopol_International_Airport,SIP,POINT (33.99605292445367 45.020217397816495)
187,Sitka Rocky Gutierrez,mid,http://en.wikipedia.org/wiki/Sitka_Rocky_Gutierrez_Airport,SIT,POINT (-135.365692 57.05349)
188,Los Cabos Int'l,major,http://en.wikipedia.org/wiki/Los_Cabos_International_Airport,SJD,POINT (-109.71785838690921 23.162657448359653)
189,McNary Field,major,http://en.wikipedia.org/wiki/McNary_Field,SLE,POINT (-123.00787147940393 44.91051384521425)
190,Plan de Guadalupe,mid,http://en.wikipedia.org/wiki/Plan_de_Guadalupe_International_Airport,SLW,POINT (-100.93226054858748 25.54799764199738)
191,Shannon,major,http://en.wikipedia.org/wiki/Shannon_Airport,SNN,POINT (-8.922428855576857 52.693453710253166)
192,Santo Pekoa Int'l,mid,http://en.wikipedia.org/wiki/Santo-Pekoa_International_Airport,SON,POINT (167.22089491937467 -15.505538737085832)
193,Achmad Yani,mid,http://en.wikipedia.org/wiki/Achmad_Yani_Airport,SRG,POINT (110.37855625566573 -6.978734849569817)
194,Srinagar,military mid,http://en.wikipedia.org/wiki/Srinagar_Airport,SXR,POINT (74.78262436723114 33.98309094316232)
195,Tapachula Int'l,mid,http://en.wikipedia.org/wiki/Tapachula_International_Airport,TAP,POINT (-92.370003 14.791128133877267)
