,name,type,wikipedia,abbrev,geometry
289,Lic. Jesús Terán Peredo Int'l,mid,http://en.wikipedia.org/wiki/Lic._Jes%C3%BAs_Ter%C3%A1n_Peredo_International_Airport,AGU,POINT (-102.3140937400579 21.701339032920746)
290,Albenga,mid,http://en.wikipedia.org/wiki/Villanova_d'Albenga_International_Airport,ALL,POINT (8.12314535436409 44.04587735981584)
291,Queen Alia Int'l,major,http://en.wikipedia.org/wiki/Queen_Alia_International_Airport,AMM,POINT (35.989707162192985 31.722662160043214)
292,Chacalluta Int'l,mid,http://en.wikipedia.org/wiki/Chacalluta_Airport,ARI,POINT (-70.3357301410959 -18.349206163957913)
293,Atar Int'l,mid,http://en.wikipedia.org/wiki/Atar_International_Airport,ATR,POINT (-13.05117043233154 20.498270610156464)
294,Ernesto Cortissoz Int'l,mid,http://en.wikipedia.org/wiki/Ernesto_Cortissoz_International_Airport,BAQ,POINT (-74.77655597826495 10.886677595941366)
295,Teniente Luis Candelaria Int'l,mid,http://en.wikipedia.org/wiki/San_Carlos_de_Bariloche_Airport,BRC,POINT (-71.16143008697632 -41.14599769581051)
296,Bouaké,mid,http://en.wikipedia.org/wiki/Bouak%C3%A9_Airport,BYK,POINT (-5.0689422227531145 7.736104955550318)
297,Philip S. W. Goldson Int'l,major,http://en.wikipedia.org/wiki/Philip_S._W._Goldson_International_Airport,BZE,POINT (-88.30820640330747 17.536068657552093)
298,Corpus Christi Int'l,major,http://en.wikipedia.org/wiki/Corpus_Christi_International_Airport,CRP,POINT (-97.50226787102976 27.77445607008226)
299,Hato Int'l,mid,http://en.wikipedia.org/wiki/Hato_International_Airport,CUR,POINT (-68.95687880727611 12.184834605201921)
300,Velazco Astete Int'l,major,http://en.wikipedia.org/wiki/Alejandro_Velasco_Astete_International_Airport,CUZ,POINT (-71.94366414497216 -13.538218699263911)
301,Julius Nyerere Int'l,mid,http://en.wikipedia.org/wiki/Julius_Nyerere_International_Airport,DAR,POINT (39.207471503916466 -6.866720042491186)
302,Detroit City,mid,http://en.wikipedia.org/wiki/Coleman_A._Young_International_Airport,DET,POINT (-83.00396814177334 42.40909384319068)
303,Presidente Nicolau Lobato Int'l,mid,http://en.wikipedia.org/wiki/Presidente_Nicolau_Lobato_International_Airport,DIL,POINT (125.52485420918208 -8.549311574145644)
304,Moscow Domodedovo Int'l,major,http://en.wikipedia.org/wiki/Domodedovo_International_Airport,DME,POINT (37.90025312894517 55.41415282230229)
305,Dunedin Int'l,mid,http://en.wikipedia.org/wiki/Dunedin_International_Airport,DUD,POINT (170.200027 -45.923431)
306,Dzaoudzi Pamanzi Int'l,mid,http://en.wikipedia.org/wiki/Dzaoudzi_Pamandzi_International_Airport,DZA,POINT (45.281786419789874 -12.80494743816432)
307,El Paso Int'l,mid,http://en.wikipedia.org/wiki/El_Paso_International_Airport,ELP,POINT (-106.39571467936567 31.799086027258937)
308,Zvartnots Int'l,major,http://en.wikipedia.org/wiki/Zvartnots_International_Airport,EVN,POINT (44.40006305369384 40.15236794518844)
309,Fort Worth Meacham Field,major,http://en.wikipedia.org/wiki/Fort_Worth_Meacham_International_Airport,FTW,POINT (-97.35513485615866 32.82075290479723)
310,JAGS McCartney Int'l,mid,http://en.wikipedia.org/wiki/JAGS_McCartney_International_Airport,GDT,POINT (-71.14613374488756 21.442123743906283)
311,Scholes Int'l,mid,http://en.wikipedia.org/wiki/Scholes_International_Airport_at_Galveston,GLS,POINT (-94.85540138762639 29.2671239212096)
312,Goma Int'l,mid,http://en.wikipedia.org/wiki/Goma_International_Airport,GOM,POINT (29.240053495222842 -1.6583179500206946)
313,Garoua Int'l,mid,http://en.wikipedia.org/wiki/Garoua_International_Airport,GOU,POINT (13.372430937787765 9.33068867678854)
314,Antonio B. Won Pat Int'l,major,http://en.wikipedia.org/wiki/Antonio_B._Won_Pat_International_Airport,GUM,POINT (144.8058503570926 13.492646235946513)
315,Gary/Chicago Int'l,mid,http://en.wikipedia.org/wiki/Gary/Chicago_International_Airport,GYY,POINT (-87.40835962474056 41.617793001516596)
316,Prince Said Ibrahim Int'l,mid,http://en.wikipedia.org/wiki/Prince_Said_Ibrahim_International_Airport,HAH,POINT (43.274561217961576 -11.536639382912684)
317,Hobart Int'l,mid,http://en.wikipedia.org/wiki/Hobart_International_Airport,HBA,POINT (147.50599619040787 -42.83760836948221)
318,Honiara Int'l,mid,http://en.wikipedia.org/wiki/Honiara_International_Airport,HIR,POINT (160.04585512992452 -9.427575664001457)
319,Kiev Zhuliany Int'l,mid,http://en.wikipedia.org/wiki/Kiev_International_Airport,IEV,POINT (30.445130518210362 50.412808165984956)
320,Irkutsk S.E.,mid and military,http://en.wikipedia.org/wiki/Irkutsk_Airport,IKT,POINT (104.35585974800242 52.272889388224414)
321,Indianapolis Int'l,major,http://en.wikipedia.org/wiki/Indianapolis_International_Airport,IND,POINT (-86.27340036508855 39.730204370396905)
322,Nauru Int'l,mid,http://en.wikipedia.org/wiki/Nauru_International_Airport,INU,POINT (166.91613965881993 -0.5450372268563837)
323,Mataveri Int'l,mid,http://en.wikipedia.org/wiki/Mataveri_International_Airport,IPC,POINT (-109.4300644100096 -27.158773838853794)
324,Gob. Horacio Guzman Int'l,mid,http://en.wikipedia.org/wiki/Gobernador_Horacio_Guzm%C3%A1n_International_Airport,JUJ,POINT (-65.09376654588122 -24.386101077584634)
325,Nanchang Changbei Int'l,mid,http://en.wikipedia.org/wiki/Nanchang_Changbei_International_Airport,KHN,POINT (115.91197991860221 28.862489120066552)
326,Kunming Changshui Int'l,major,http://en.wikipedia.org/wiki/Kunming_Wujiaba_International_Airport,KMG,POINT (102.9285227592646 25.101205531845622)
327,Leeds Bradford,major,http://en.wikipedia.org/wiki/Leeds_Bradford_International_Airport,LBA,POINT (-1.6598310673474594 53.86908194744343)
328,Libreville Leon M'ba Int'l,mid,http://en.wikipedia.org/wiki/Libreville_International_Airport,LBV,POINT (9.410223378207123 0.4571392295037592)
329,Lomé Tokoin,mid,http://en.wikipedia.org/wiki/Lom%C3%A9-Tokoin_Airport,LFW,POINT (1.25093205640014 6.16687362722297)
330,Lviv Danylo Halytskyi Int'l,mid and military,http://en.wikipedia.org/wiki/Lviv_International_Airport,LWO,POINT (23.946126959894446 49.817850605000466)
331,Marshall Islands Int'l,mid,http://en.wikipedia.org/wiki/Marshall_Islands_International_Airport,MAJ,POINT (171.28191937064796 7.0681184855709125)
332,Macau Int'l,major,http://en.wikipedia.org/wiki/Macau_International_Airport,MFM,POINT (113.57451294861951 22.15765725296336)
333,Aden Adde Int'l,mid,http://en.wikipedia.org/wiki/Aden_Adde_International_Airport,MGQ,POINT (45.30363741862018 2.016353112149878)
334,Maputo Int'l,mid,http://en.wikipedia.org/wiki/Maputo_International_Airport,MPM,POINT (32.57419151947824 -25.924276711787034)
335,Sir Seewoosagur Ramgoolam Int'l,mid,http://en.wikipedia.org/wiki/Sir_Seewoosagur_Ramgoolam_International_Airport,MRU,POINT (57.67698600766355 -20.431756779321564)
336,Naples Int'l,major,http://en.wikipedia.org/wiki/Naples_International_Airport,NAP,POINT (14.282844434020328 40.87807288436389)
337,Nouadhibou Int'l,mid,http://en.wikipedia.org/wiki/Nouadhibou_International_Airport,NDB,POINT (-17.03343986915384 20.92905230643873)
338,Ningbo Lishe Int'l,major,http://en.wikipedia.org/wiki/Ningbo_Lishe_International_Airport,NGB,POINT (121.46181938848366 29.820823190686056)
339,Nouakchott Int'l,mid,http://en.wikipedia.org/wiki/Nouakchott_International_Airport,NKC,POINT (-15.95192592522014 18.09792317181745)
340,La Tontouta Int'l,mid,http://en.wikipedia.org/wiki/La_Tontouta_International_Airport,NOU,POINT (166.21723211869872 -22.013638624898107)
341,Oakland Int'l,major,http://en.wikipedia.org/wiki/Oakland_International_Airport,OAK,POINT (-122.21326125786332 37.71230369516912)
342,Ontario Int'l,major,http://en.wikipedia.org/wiki/LA/Ontario_International_Airport,ONT,POINT (-117.5923276516506 34.06019110206596)
343,Cork,major,http://en.wikipedia.org/wiki/Cork_Airport,ORK,POINT (-8.490141999838173 51.84854054199235)
344,Minangkabau Int'l,mid,http://en.wikipedia.org/wiki/Minangkabau_International_Airport,PDG,POINT (100.28545585179133 -0.7860457140262733)
345,João Paulo II,mid,http://en.wikipedia.org/wiki/Jo%C3%A3o_Paulo_II_Airport,PDL,POINT (-25.696988219871116 37.743331647293275)
346,Bacha Khan Int'l,mid,http://en.wikipedia.org/wiki/Peshawar_International_Airport,PEW,POINT (71.51881499126668 33.99140278895964)
347,Glasgow Prestwick,mid,http://en.wikipedia.org/wiki/Glasgow_Prestwick_International_Airport,PIK,POINT (-4.610971639010682 55.50889181051421)
348,Ponta Porã Int'l,mid,http://en.wikipedia.org/wiki/Ponta_Por%C3%A3_International_Airport,PMG,POINT (-55.70607937485728 -22.551786560876014)
349,Palmerston N. Int'l,mid,http://en.wikipedia.org/wiki/Palmerston_North_International_Airport,PMR,POINT (175.62128328195985 -40.32331788520548)
350,Pohnpei Int'l,mid,http://en.wikipedia.org/wiki/Pohnpei_International_Airport,PNI,POINT (158.2033044909644 6.981306765121233)
351,Tahiti Faa'a Int'l,mid,http://en.wikipedia.org/wiki/Faa'a_International_Airport,PPT,POINT (-149.60975793242872 -17.55945776599425)
352,Pisa Galileo Galilei Int'l,major and military,http://en.wikipedia.org/wiki/Galileo_Galilei_International_Airport,PSA,POINT (10.400134371805603 43.69832241576641)
353,Port Sudan,mid and military,,PZU,POINT (37.216065757541976 19.576063653196776)
354,Praia Int'l,mid,http://en.wikipedia.org/wiki/Praia_International_Airport,RAI,POINT (-23.486201988358683 14.944988935283243)
355,Marrakech-Menara,mid,http://en.wikipedia.org/wiki/Menara_International_Airport,RAK,POINT (-8.024605359079887 31.60229465977643)
356,Rarotonga Int'l,mid,http://en.wikipedia.org/wiki/Rarotonga_International_Airport,RAR,POINT (-159.7981563083873 -21.20098217246316)
357,Siem Reap Int'l,major,http://en.wikipedia.org/wiki/Angkor_International_Airport,REP,POINT (103.81578052811155 13.408796969353801)
358,Hermes Quijada Int'l,mid,http://en.wikipedia.org/wiki/Hermes_Quijada_Airport,RGA,POINT (-67.75302684626753 -53.7814746058316)
359,Piloto Civil Norberto Fernandez Int'l,mid,http://en.wikipedia.org/wiki/Piloto_Civil_Norberto_Fern%C3%A1ndez_International_Airport,RGL,POINT (-69.30647117767309 -51.61169808554019)
360,Reno-Tahoe Int'l,major,http://en.wikipedia.org/wiki/Reno-Tahoe_International_Airport,RNO,POINT (-119.77528330810486 39.505849901470334)
361,Roman Tmetuchl Int'l,mid,http://en.wikipedia.org/wiki/Palau_International_Airport,ROR,POINT (134.5329534661587 7.364495536129204)
362,Amilcar Cabral Int'l,mid,http://en.wikipedia.org/wiki/Am%C3%ADlcar_Cabral_International_Airport,SID,POINT (-22.9440574079648 16.734793269338514)
363,Sarajevo,major,http://en.wikipedia.org/wiki/Sarajevo_International_Airport,SJJ,POINT (18.336618545712724 43.825887224679725)
364,Robert L. Bradshaw Int'l,mid,http://en.wikipedia.org/wiki/Robert_L._Bradshaw_International_Airport,SKB,POINT (-62.714212504731584 17.311125840442042)
365,Martín Miguel de Güemes Int,mid,http://en.wikipedia.org/wiki/Mart%C3%ADn_Miguel_de_G%C3%BCemes_Airport,SLA,POINT (-65.47847604377958 -24.84437427133154)
366,Saipan Int'l,mid,http://en.wikipedia.org/wiki/Saipan_International_Airport,SPN,POINT (145.7236946586376 15.121516719766413)
367,Juana Azurduy de Padilla Int'l,mid,http://en.wikipedia.org/wiki/Juana_Azurduy_de_Padilla_International_Airport,SRE,POINT (-65.29286313878465 -19.01391579246574)
368,Princess Juliana Int'l,major,http://en.wikipedia.org/wiki/Princess_Juliana_International_Airport,SXM,POINT (-63.1122760858602 18.042244021474033)
369,Ta'izz Int'l,mid,http://en.wikipedia.org/wiki/Ta'izz_International_Airport,TAI,POINT (44.134782731062046 13.685497002557412)
370,Qingdao Liuting Int'l,mid,http://en.wikipedia.org/wiki/Qingdao_Liuting_International_Airport,TAO,POINT (120.3806859490605 36.267757808103866)
371,Chuuk Int'l,mid,http://en.wikipedia.org/wiki/Chuuk_International_Airport,TKK,POINT (151.84204603740326 7.457617802884429)
372,Tangier Ibn Battouta,mid,http://en.wikipedia.org/wiki/Tangier_Ibn_Battouta_Airport,TNG,POINT (-5.912880876559137 35.725765640927385)
373,Bonriki Int'l,mid,http://en.wikipedia.org/wiki/Bonriki_International_Airport,TRW,POINT (173.14599079530137 1.3806686975383045)
374,Astana Int'l,major,http://en.wikipedia.org/wiki/Astana_International_Airport,TSE,POINT (71.46094413999357 51.0269352907712)
375,Tianjin Binhai Int'l,major,http://en.wikipedia.org/wiki/Tianjin_Binhai_International_Airport,TSN,POINT (117.35272315991853 39.12946099090075)
376,Townsville,major and military,http://en.wikipedia.org/wiki/Townsville_Airport,TSV,POINT (146.77067890477002 -19.256181437621244)
377,Teniente Gen. Benjamin Matienzo Int'l,mid,http://en.wikipedia.org/wiki/Benjam%C3%ADn_Matienzo_International_Airport,TUC,POINT (-65.10812462362482 -26.835731005071423)
378,Aeroport Tunis,major,http://en.wikipedia.org/wiki/Tunis-Carthage_International_Airport,TUN,POINT (10.21769924471112 36.84744821772193)
379,Tucson Int'l,major,http://en.wikipedia.org/wiki/Tucson_International_Airport,TUS,POINT (-110.93771323213196 32.12035234418979)
380,Chinggis Khaan Int'l,mid,http://en.wikipedia.org/wiki/Chinggis_Khaan_International_Airport,ULN,POINT (106.76287399492858 47.852526096668434)
381,Ürümqi Diwopu Int'l,major,http://en.wikipedia.org/wiki/%C3%9Cr%C3%BCmqi_Diwopu_International_Airport,URC,POINT (87.46712984878084 43.898338219365286)
382,Bauerfield Int'l,mid,http://en.wikipedia.org/wiki/Bauerfield_International_Airport,VLI,POINT (168.3196227396616 -17.701699068178094)
383,Wewak Int'l,mid,http://en.wikipedia.org/wiki/Wewak_International_Airport,WWK,POINT (143.66910229969758 -3.5802268944474442)
384,Châlons Vatry,military mid,http://en.wikipedia.org/wiki/Ch%C3%A2lons_Vatry_Airport,XCR,POINT (4.19111982574289 48.78039461385664)
385,Xiamen Gaoqi Int'l,major,http://en.wikipedia.org/wiki/Xiamen_Gaoqi_International_Airport,XMN,POINT (118.12696884672026 24.537192570557004)
386,Yap Int'l,mid,http://en.wikipedia.org/wiki/Yap_International_Airport,YAP,POINT (138.08643028361917 9.497917333613481)
387,Playa de Oro Int'l,mid,http://en.wikipedia.org/wiki/Playa_de_Oro_International_Airport,ZLO,POINT (-104.56009520009748 19.148086028585354)
388,Cayenne – Rochambeau,mid,http://en.wikipedia.org/wiki/Cayenne-Rochambeau_Airport,CAY,POINT (-52.363806857235694 4.821267143089237)
389,Irkutsk N.W.,mid,http://en.wikipedia.org/wiki/Irkutsk_Northwest_Airport,UIII,POINT (104.19735928449404 52.36164767001315)
390,Shijiazhuang Zhengding Int'l,major,http://en.wikipedia.org/wiki/Shijiazhuang_Zhengding_International_Airport,SJW,POINT (114.6922665989016 38.27814091311202)
391,Heydar Aliyev Int'l,major,http://en.wikipedia.org/wiki/Heydar_Aliyev_International_Airport,GYD,POINT (50.04983948674051 40.46274688390803)
392,Lakatamia Airbase,military mid,http://en.wikipedia.org/wiki/List_of_airports_in_Cyprus,LAK,POINT (33.322201334898956 35.10634480673619)
393,Cabo Frio Int'l,mid,http://en.wikipedia.org/wiki/Cabo_Frio_International_Airport,CFB,POINT (-42.079251752018415 -22.925631709132773)
394,Helsinki-Malmi,mid,http://en.wikipedia.org/wiki/Helsinki-Malmi_Airport,HEM,POINT (25.045535369831455 60.24937784995868)
395,Luxembourg-Findel,major,http://en.wikipedia.org/wiki/Luxembourg-Findel_International_Airport,LUX,POINT (6.216421217287305 49.63430409251016)
396,Venice Marco Polo,major,http://en.wikipedia.org/wiki/Marco_Polo_International_Airport,VCE,POINT (12.341067300436913 45.504847758845486)
397,Yangyang Int'l,mid,http://en.wikipedia.org/wiki/Yangyang_International_Airport,YNY,POINT (128.66298866883957 38.058782416258545)
398,Tabatinga Int'l,mid,http://en.wikipedia.org/wiki/Tabatinga_International_Airport,TBT,POINT (-69.93947393390899 -4.250324694933793)
399,Boa Vista Int'l,mid,http://en.wikipedia.org/wiki/Boa_Vista_International_Airport,BVB,POINT (-60.69222063386823 2.84119534121157)
400,Gran Canaria,major,http://en.wikipedia.org/wiki/Gran_Canaria_Airport,LPA,POINT (-15.389924515846113 27.936889971657408)
401,Com. Armando Tola Int'l,mid,http://en.wikipedia.org/wiki/Comandante_Armando_Tola_International_Airport,ING,POINT (-72.05385691012962 -50.283900869003766)
402,Stockholm-Skavsta,mid,http://en.wikipedia.org/wiki/Stockholm-Skavsta_Airport,NYO,POINT (16.92160555842542 58.785104130344784)
403,Polonia Int'l,mid,http://en.wikipedia.org/wiki/Polonia_International_Airport,MES,POINT (98.67619257146407 3.5665917999089403)
404,Bangui M'Poko Int'l,mid,http://en.wikipedia.org/wiki/Bangui_M'Poko_International_Airport,BGF,POINT (18.524123630208024 4.398851536959572)
405,Hangzhou Xiaoshan Int'l,major,http://en.wikipedia.org/wiki/Hangzhou_Xiaoshan_International_Airport,HGH,POINT (120.43209737631294 30.235186279041436)
406,Cassidy Int'l,mid,http://en.wikipedia.org/wiki/Cassidy_International_Airport,CXI,POINT (-157.34977789343037 1.9861611979240215)
407,Šiauliai Int'l,mid,http://en.wikipedia.org/wiki/%C5%A0iauliai_International_Airport,SQQ,POINT (23.383188573869113 55.90376945403999)
408,Niue Int'l,mid,http://en.wikipedia.org/wiki/Niue_International_Airport,IUE,POINT (-169.92612977421672 -19.076712935451056)
409,Guaraní Int'l,mid,http://en.wikipedia.org/wiki/Guarani_International_Airport,AGT,POINT (-54.83939952960621 -25.456857071581247)
410,Rodríguez Ballón Int'l,mid,http://en.wikipedia.org/wiki/Rodriguez_Ballon_International_Airport,AQP,POINT (-71.56793353852852 -16.344552065351998)
411,Vladivostok Int'l,mid and military,http://en.wikipedia.org/wiki/Vladivostok_International_Airport,VVO,POINT (132.13984172071468 43.377649253388505)
412,Pristina,major,http://en.wikipedia.org/wiki/Pristina_International_Airport_Adem_Jashari,PRN,POINT (21.03026901247459 42.58503311534483)
413,Deurne,mid,http://en.wikipedia.org/wiki/Antwerp_International_Airport,ANR,POINT (4.450922773999088 51.18912850638064)
414,Gen. Márquez de León Int'l,mid,http://en.wikipedia.org/wiki/Manuel_M%C3%A1rquez_de_Le%C3%B3n_International_Airport,LAP,POINT (-110.36719785980947 24.076090352180334)
415,Harbin Taiping,major,http://en.wikipedia.org/wiki/Harbin_Taiping_International_Airport,HRB,POINT (126.2369830308627 45.62060117232452)
416,Trivandrum Int'l,mid,http://en.wikipedia.org/wiki/Trivandrum_International_Airport,TRV,POINT (76.91890256129132 8.476509938945144)
417,Adnan Menderes,major,http://en.wikipedia.org/wiki/Adnan_Menderes_Airport,ADB,POINT (27.149297595266408 38.29123476451746)
418,Nanjing Lukou Int'l,major,http://en.wikipedia.org/wiki/Nanjing_Lukou_International_Airport,NKG,POINT (118.86610214690592 31.73532492961766)
419,Freeport Int'l,mid,http://en.wikipedia.org/wiki/Grand_Bahama_International_Airport,FPO,POINT (-78.70393431144967 26.548246747188983)
420,Tripoli Int'l,major,http://en.wikipedia.org/wiki/Tripoli_International_Airport,TIP,POINT (13.144258981071262 32.66916955049933)
421,Gander Int'l,mid,http://en.wikipedia.org/wiki/Gander_International_Airport,YQX,POINT (-54.57557190935781 48.946598006073565)
422,Doha Int'l,major and military,http://en.wikipedia.org/wiki/Doha_International_Airport,DOH,POINT (51.558548787654715 25.268246131050645)
423,Albuquerque Int'l,major,http://en.wikipedia.org/wiki/Albuquerque_International_Sunport,ABQ,POINT (-106.6166851616002 35.04915780182765)
424,V.C. Bird Int'l,mid,http://en.wikipedia.org/wiki/VC_Bird_International_Airport,ANU,POINT (-61.792367669835826 17.140359937161683)
425,Faleolo,mid,http://en.wikipedia.org/wiki/Faleolo_International_Airport,APW,POINT (-171.99732221833983 -13.832501332395603)
426,Asyut,mid,http://en.wikipedia.org/wiki/Assiut_Airport,ATZ,POINT (31.016249043801107 27.05081584069781)
427,Bahrain Int'l,major,http://en.wikipedia.org/wiki/Bahrain_International_Airport,BAH,POINT (50.62600287575336 26.269697149949714)
428,Bradley Int'l,major,http://en.wikipedia.org/wiki/Bradley_International_Airport,BDL,POINT (-72.68539474333903 41.93031600583518)
429,Grantley Adams Int'l,mid,http://en.wikipedia.org/wiki/Grantley_Adams_International_Airport,BGI,POINT (-59.48741889531585 13.079661104553033)
430,Yundum Int'l,mid,http://en.wikipedia.org/wiki/Banjul_International_Airport,BJL,POINT (-16.652313269807472 13.343860478894186)
431,Bujumbura Int'l,mid,http://en.wikipedia.org/wiki/Bujumbura_International_Airport,BJM,POINT (29.32098401699387 -3.322044349131131)
432,Chileka Int'l,mid,http://en.wikipedia.org/wiki/Chileka_International_Airport,BLZ,POINT (34.971944183793276 -15.68138447932725)
433,Broome Int'l,mid,http://en.wikipedia.org/wiki/Broome_International_Airport,BME,POINT (122.23385051502184 -17.95257612926801)
434,Bandar Abbass Int'l,mid,http://en.wikipedia.org/wiki/Bandar_Abbas_International_Airport,BND,POINT (56.368886456411 27.210325845514543)
435,Basrah Int'l,major,http://en.wikipedia.org/wiki/Basra_International_Airport,BSR,POINT (47.668376663351836 30.552799016106043)
436,Ciudad Juarez Int'l,mid,http://en.wikipedia.org/wiki/Abraham_Gonz%C3%A1lez_International_Airport,CJS,POINT (-106.4358466310554 31.635756620195146)
437,Katunayake Int'l,major,http://en.wikipedia.org/wiki/Bandaranaike_International_Airport,CMB,POINT (79.88525734215062 7.1780771054422114)
438,Cairns Int'l,mid,http://en.wikipedia.org/wiki/Cairns_International_Airport,CNS,POINT (145.75358484439977 -16.876742155406177)
439,Chiang Mai Int'l,major,http://en.wikipedia.org/wiki/Chiang_Mai_International_Airport,CNX,POINT (98.96811812415933 18.768847391967526)
440,City of Colorado Springs,major,http://en.wikipedia.org/wiki/Colorado_Springs_Airport,COS,POINT (-104.70088027411134 38.79742487791252)
441,Ign. Alberto Ongay Int'l,mid,http://en.wikipedia.org/wiki/Ing._Alberto_Acu%C3%B1a_Ongay_International_Airport,CPE,POINT (-90.50362837340384 19.81422479920744)
442,Changsha Huanghua Int'l,major,http://en.wikipedia.org/wiki/Changsha_airport,CSX,POINT (113.21405420325205 28.189921861945066)
443,Greater Cincinnati Int'l,major,http://en.wikipedia.org/wiki/Cincinnati/Northern_Kentucky_International_Airport,CVG,POINT (-84.65616991533919 39.05541890478304)
444,Da Nang,major,http://en.wikipedia.org/wiki/Da_Nang_International_Airport,DAD,POINT (108.20270625793569 16.05314414516696)
445,Dallas Love Field,major,http://en.wikipedia.org/wiki/Dallas_Love_Field,DAL,POINT (-96.84986377097995 32.84442537327384)
446,Damascus Int'l,major,http://en.wikipedia.org/wiki/Damascus_International_Airport,DAM,POINT (36.51289547181257 33.41143667027319)
447,Enrique Malek Int'l,mid,http://en.wikipedia.org/wiki/Enrique_Malek_International_Airport,DAV,POINT (-82.43175833693866 8.391261061169175)
448,Aba Tenna D. Yilma Int'l,mid,http://en.wikipedia.org/wiki/Aba_Tenna_Dejazmach_Yilma_International_Airport,DIR,POINT (41.857756722253 9.61267784753569)
449,Bali Int'l,major,http://en.wikipedia.org/wiki/Ngurah_Rai_Airport,DPS,POINT (115.16232296110661 -8.744757315956518)
450,Des Moines Int'l,major,http://en.wikipedia.org/wiki/Des_Moines_International_Airport,DSM,POINT (-93.64846125637362 41.5327904242113)
451,Entebbe Int'l,mid,http://en.wikipedia.org/wiki/Entebbe_International_Airport,EBB,POINT (32.4427573135214 0.0449409493886721)
452,Kisangani Bangoka Int'l,mid,http://en.wikipedia.org/wiki/Bangoka_International_Airport,FKI,POINT (25.330271489621154 0.4922251369175005)
453,Fuzhou Changle Int'l,mid,http://en.wikipedia.org/wiki/Fuzhou_Changle_International_Airport,FOC,POINT (119.6680438209992 25.931823314814313)
454,Lokpriya G. Bordoloi Int'l,mid,http://en.wikipedia.org/wiki/Lokpriya_Gopinath_Bordoloi_International_Airport,GAU,POINT (91.58822905818697 26.105247592425503)
455,Gdansk Lech Walesa,major,http://en.wikipedia.org/wiki/Gda%C5%84sk_Lech_Wa%C5%82%C4%99sa_Airport,GDN,POINT (18.468442216591136 54.380702535292464)
456,Point Salines Int'l,mid,http://en.wikipedia.org/wiki/Point_Salines_International_Airport,GND,POINT (-61.78585299092849 12.007268305428271)
457,Nizhny Novgorod Int'l,mid,http://en.wikipedia.org/wiki/Nizhny_Novgorod_International_Airport,GOJ,POINT (43.789633706293515 56.21855259106556)
458,Gen. José M. Yáñez Int'l,mid,http://en.wikipedia.org/wiki/General_Jos%C3%A9_Mar%C3%ADa_Y%C3%A1%C3%B1ez_International_Airport,GYM,POINT (-110.9216512704022 27.969455396282893)
459,Hohhot Baita Int'l,mid,http://en.wikipedia.org/wiki/Hohhot_Baita_International_Airport,HET,POINT (111.81468182162591 40.85406009065522)
460,Helena Reg.,mid,http://en.wikipedia.org/wiki/Helena_Regional_Airport,HLN,POINT (-111.9898968960076 46.61020435289996)
461,Gen. Ignacio P. Garcia Int'l,mid,http://en.wikipedia.org/wiki/General_Ignacio_Pesqueira_Garcia_International_Airport,HMO,POINT (-111.0519017118191 29.090077252344535)
462,Dulles Int'l,major,http://en.wikipedia.org/wiki/Washington_Dulles_International_Airport,IAD,POINT (-77.44779257692062 38.95277403795302)
463,Hilo Int'l,mid,http://en.wikipedia.org/wiki/Hilo_International_Airport,ITO,POINT (-155.0396297334349 19.714797686866262)
464,Jackson Int'l,major,http://en.wikipedia.org/wiki/Jackson-Evers_International_Airport,JAN,POINT (-90.07509862769238 32.31006002736351)
465,Jacksonville Int'l,major,http://en.wikipedia.org/wiki/Jacksonville_International_Airport,JAX,POINT (-81.68357672783112 30.491352730947966)
466,Kuching Int'l,mid,http://en.wikipedia.org/wiki/Kuching_International_Airport,KCH,POINT (110.3418370543153 1.487207937790097)
467,Kigali Int'l,mid,http://en.wikipedia.org/wiki/Kigali_International_Airport,KGL,POINT (30.13487681878561 -1.9636544366413797)
468,Kraków-Balice,major,http://en.wikipedia.org/wiki/John_Paul_II_International_Airport_Krak%C3%B3w-Balice,KRK,POINT (19.800977284450408 50.07226306483314)
469,Kurumoch,major,http://en.wikipedia.org/wiki/Kurumoch_International_Airport,KUF,POINT (50.14726552101905 53.50838481909353)
470,Guilin Liangjiang Int'l,major,http://en.wikipedia.org/wiki/Guilin_Liangjiang_International_Airport,KWL,POINT (110.04689349777009 25.217605525229324)
471,Laoag Int'l,mid,http://en.wikipedia.org/wiki/Laoag_International_Airport,LAO,POINT (120.53387619612701 18.182418086637874)
472,LaGuardia,major,http://en.wikipedia.org/wiki/LaGuardia_Airport,LGA,POINT (-73.8719858204814 40.77455393988576)
473,London Gatwick,major,http://en.wikipedia.org/wiki/London_Gatwick_Airport,LGW,POINT (-0.1629616391394559 51.155756751927456)
474,Ljubljana,major,http://en.wikipedia.org/wiki/Ljubljana_Jo%C5%BEe_Pu%C4%8Dnik_Airport,LJU,POINT (14.454812628326566 46.230544555448624)
475,Amausi Int'l,mid,http://en.wikipedia.org/wiki/Amausi_Airport,LKO,POINT (80.88417197324722 26.763932870091633)
476,La Plata,mid,http://en.wikipedia.org/wiki/La_Plata_Airport,LPG,POINT (-57.89538206365101 -34.9655441559234)
477,Gen. Sevando Canales,mid,http://en.wikipedia.org/wiki/General_Servando_Canales_International_Airport,MAM,POINT (-97.53082171211871 25.770841264061858)
478,Manchester Int'l,major,http://en.wikipedia.org/wiki/Manchester_Airport,MAN,POINT (-2.2733715906942735 53.36248960665181)
