osm_id,code,fclass,name,x,y
"886496669","2016",market_place,Enver Lipaj,20.397,42.751
"886498412","2724",memorial,Martirët e Lirisë,20.397,42.751
"886501346","2252",pitch,Onix,20.385,42.722
"886511236","2110",hospital,Qendra e Mjekësisë Familjare,20.386,42.719
"886540869","2082",school,SHFMU NDRE MJEDA-VERIQ,20.556,42.760
"886543039","2082",school,SHFMU NDRE MJEDA RAKOSH,20.611,42.787
"886553910","2110",hospital,QMF ne Rakosh,20.610,42.785
"886554167","2083",kindergarten,,20.610,42.785
"886555052","2082",school,,20.596,42.748
"886556094","2724",memorial,Deshmoret e Kombit,20.421,42.774
"886556190","2121",dentist,Nexhi Dent,20.469,42.725
"886557363","2082",school,,20.505,42.738
"886557399","2252",pitch,,20.505,42.738
"886562435","2501",supermarket,,20.432,42.752
"886572095","2501",supermarket,,20.423,42.749
"886572839","2303",cafe,Guri,20.402,42.769
"886573121","2502",bakery,Ledioni,20.403,42.769
"886573590","2501",supermarket,Vrella,20.402,42.769
"886573960","2302",fast_food,,20.403,42.769
"886574849","2525",mobile_phone_shop,,20.408,42.770
"886576424","2512",clothes,Madison,20.390,42.725
"886578540","2501",supermarket,Vatani,20.488,42.776
"886637882","2252",pitch,Fusha e futbollit e shkolles,20.611,42.788
"886638177","2252",pitch,,20.611,42.788
"886638206","2252",pitch,,20.611,42.788
"886642956","2252",pitch,,20.388,42.745
"886683512","2303",cafe,Maps,20.490,42.780
"886686854","2301",restaurant,Relax,20.476,42.726
"886688915","2502",bakery,Erza,20.471,42.725
"886691134","2001",police,Stacioni Policor Istog,20.490,42.782
"886692125","2512",clothes,Butiku Mili,20.491,42.782
"886692189","2544",furniture_shop,Palma 3,20.499,42.733
"886693753","2501",supermarket,,20.489,42.782
"886693804","2401",hotel,Art-Nis,20.475,42.726
"886693953","2502",bakery,Prizreni,20.475,42.726
"886694446","2016",market_place,Erioni,20.471,42.725
"886695437","2301",restaurant,Shija,20.471,42.725
"886696469","2005",post_office,,20.474,42.726
"886696539","2301",restaurant,Restaurant Morea,20.478,42.784
"886697092","2252",pitch,,20.496,42.783
"886697303","2016",market_place,,20.471,42.726
"886698128","2402",motel,,20.534,42.779
"886699435","2082",school,SHFMU MEHMET AKIF,20.577,42.810
"886699543","2253",swimming_pool,,20.480,42.728
"886699701","2252",pitch,,20.577,42.809
"886701554","2253",swimming_pool,,20.478,42.725
"886703253","2501",supermarket,Fruti,20.474,42.726
"886704322","2544",furniture_shop,Mobileria Ziko Mahagoni,20.514,42.741
"886705298","2514",chemist,Fruti,20.474,42.726
"886705606","2252",pitch,,20.511,42.740
"886705790","2301",restaurant,Te Sheshi,20.473,42.726
"886707083","2252",pitch,,20.472,42.726
"886708028","2501",supermarket,Alba,20.499,42.734
"886708229","2511",convenience,Kooperimi Commerce,21.212,42.708
"886750735","2401",hotel,Leoniti,20.391,42.725
"886779892","2963",water_mill,,20.401,42.774
"886780510","2722",museum,Mulli,20.400,42.773
"886792507","2724",memorial,Deshmoret e fshatit Studenicë,20.388,42.767
"886795859","2082",school,Fan S.Noli,20.441,42.739
"886795860","2252",pitch,Fan S.Noli,20.440,42.739
"886817820","2301",restaurant,Skenderbeg,20.485,42.786
"886817973","2252",pitch,,20.490,42.779
"886817974","2252",pitch,,20.490,42.779
"886817975","2252",pitch,,20.490,42.779
"887356655","2252",pitch,Hysni Zajmi,20.402,42.769
"887357562","2252",pitch,Hysni Zajmi,20.404,42.769
"887360185","2502",bakery,Totaj,20.401,42.770
"887360742","2502",bakery,Gegolli,20.401,42.770
"887368022","2501",supermarket,,20.407,42.769
"887369160","2303",cafe,Madam Caffe,20.406,42.769
"887607829","2724",memorial,Deshmoret e fshatit Vrelle,20.402,42.769
"887670382","2564",car_wash,Joni,20.393,42.728
"887671366","2564",car_wash,,20.400,42.768
"887672423","2564",car_wash,,20.405,42.769
"887672596","2204",park,Fidanishtja,20.384,42.749
"887681149","2010",prison,,21.106,42.512
"887688765","2301",restaurant,Trofta,20.482,42.781
"887689442","2512",clothes,Endi,20.491,42.780
"887689502","2564",car_wash,,20.492,42.780
"887704143","2204",park,Parku i Qytetit,20.488,42.781
"887704492","2501",supermarket,Rina Market,20.387,42.715
"887704876","2082",school,Hysni Zajmi,20.386,42.766
"887704895","2252",pitch,Hysni Zajmi,20.386,42.765
"887877606","2302",fast_food,XL,20.491,42.780
"887911184","2724",memorial,Deshmoret e Istogut,20.486,42.782
"888022486","2101",pharmacy,Kastrati,20.486,42.781
"888025505","2512",clothes,Butiku Forever,20.490,42.782
"888148805","2015",graveyard,,21.218,42.923
"888154905","2015",graveyard,,21.203,42.912
"888156556","2015",graveyard,,21.141,42.937
"888160355","2015",graveyard,,21.176,42.885
"888160359","2015",graveyard,,21.182,42.875
"888163564","2015",graveyard,,21.304,42.668
"888163566","2015",graveyard,,21.312,42.661
"888344665","2302",fast_food,,21.397,42.575
"888344673","2252",pitch,,21.389,42.590
"888383838","2561",hairdresser,Te Ganiu,20.401,42.770
"888471215","2015",graveyard,,20.804,42.140
"888471856","2015",graveyard,,20.731,42.158
"888472632","2015",graveyard,,20.925,42.178
"888473052","2015",graveyard,,20.796,42.174
"888477753","2015",graveyard,,20.606,42.070
"888477754","2015",graveyard,,20.594,42.065
"888622978","2015",graveyard,,20.797,42.873
"888737574","2101",pharmacy,Biohit,20.488,42.776
"888738225","2544",furniture_shop,Valoni,20.488,42.776
"888745415","2512",clothes,Unico,20.488,42.779
"888750418","2301",restaurant,FiftyFive,20.484,42.781
"888751960","2302",fast_food,Zeqa,20.491,42.781
"888987263","2564",car_wash,,20.487,42.782
"889013778","2015",graveyard,,20.570,42.160
"889022149","2301",restaurant,Villa,20.359,42.706
"889022757","2252",pitch,,20.318,42.681
"889265461","2015",graveyard,,20.288,42.641
"889269493","2009",courthouse,Prokuroria Themelore Pejë,20.303,42.662
"889325241","2541",car_dealership,LTG LAND ROVER KOSOVA,21.128,42.575
"889330283","2402",motel,,21.141,42.557
"889330306","2402",motel,,21.131,42.561
"889330309","2081",university,Innovation campus,21.135,42.558
"889330313","2402",motel,,21.134,42.566
"889330319","2402",motel,,21.131,42.576
"889346461","2005",post_office,Posta,20.389,42.727
"889346725","2401",hotel,Hotel Onix,20.389,42.728
"889348890","2301",restaurant,,20.388,42.714
"889351090","2564",car_wash,,20.377,42.712
"889351311","2016",market_place,,20.375,42.712
"889906572","2564",car_wash,,20.449,42.716
"889908223","2401",hotel,Sheraton,20.437,42.715
"889909954","2016",market_place,Mega Fruit,20.479,42.731
"889931381","2501",supermarket,Burimi-N,20.493,42.782
"889954693","2512",clothes,Veshmbathje gjermane,20.489,42.775
"889954863","2204",park,,21.484,42.369
"889958612","2301",restaurant,Ulpiana,20.487,42.759
"889960500","2082",school,Bajram Curri,20.455,42.780
"889966709","2517",shoe_shop,Mili,20.491,42.782
"889968374","2544",furniture_shop,MEFA,20.492,42.782
"890249873","2252",pitch,,20.488,42.786
"890251400","2252",pitch,Trepça,20.392,42.724
"890495543","2723",monument,,21.134,42.379
"890968288","2204",park,,21.108,42.581
"890968289","2252",pitch,,21.110,42.583
"890968290","2204",park,,21.111,42.584
"890968292","2204",park,,21.111,42.587
"890968293","2204",park,,21.109,42.586
"890968294","2204",park,,21.108,42.586
"890968295","2204",park,,21.108,42.587
"890968296","2204",park,,21.109,42.587
"891092603","2204",park,,21.049,42.675
"891094567","2082",school,,21.031,42.682
"891095052","2301",restaurant,Restaurant “Te Pishat”,21.018,42.611
"891095054","2301",restaurant,,21.015,42.612
"891095930","2015",graveyard,Varrezat e vjetra - Sllatinë e Vogël,21.030,42.605
"891272662","2110",hospital,Spitali Mitrovice,20.873,42.886
"892360329","2082",school,,20.718,42.209
"892360337","2110",hospital,Qendra e Mjekësisë Familjare,20.732,42.214
"892361681","2015",graveyard,,21.314,42.729
"892361683","2015",graveyard,,21.324,42.716
"892377244","2015",graveyard,,21.115,42.738
"892379216","2082",school,,21.141,42.751
"892379225","2015",graveyard,,21.131,42.745
"892379227","2015",graveyard,,21.142,42.751
"892380619","2015",graveyard,,21.142,42.731
"892380620","2081",university,,21.147,42.723
"892380621","2082",school,,21.150,42.716
"892380622","2015",graveyard,,21.154,42.706
"892478803","2082",school,,20.975,42.816
"892478804","2252",pitch,,20.975,42.819
"892478805","2252",pitch,,20.974,42.819
"892478806","2082",school,SHMU 1,20.977,42.819
"892478807","2110",hospital,,20.978,42.819
"892478808","2082",school,"Shkolla e Mesme Teknike Lutfi Musiqi",20.972,42.823
"892844214","2015",graveyard,,20.932,42.867
"892844215","2015",graveyard,,20.933,42.871
"893700420","2015",graveyard,,20.616,42.505
"893700421","2015",graveyard,,20.597,42.534
"893711693","2015",graveyard,,20.935,42.599
"893763751","2082",school,,20.902,42.615
