ID,Language,Label,Definition,Description,GovernancelevelID,GovernancelevelLabel,CodelistID,Codelistlabel,ReferenceSource,ReferenceLink,StatusID,Statuslabel,x,y
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hhe,,Hhe,Bodenart Wollgrastorf (Hhe) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hha,,Hha,Bodenart Blasenbinsentorf (Hha) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hnmy,,Hnmy,Bodenart Fieberkleetorf (Hnmy) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hnq,,Hnq,Bodenart Schachtelhalmtorf (Hnq) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hnr,,Hnr,Bodenart Radizellentorf (Hnr) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hnp,,Hnp,Bodenart Schilftorf (Hnp) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hnd,,Hnd,Bodenart Schneidriedtorf (Hnd) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hhi,,Hhi,Bodenart Heidekrauttorf (Hhi) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hhk,,Hhk,Bodenart Kiefernhochmoortorf (Hhk) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hulk,,Hulk,Bodenart Kiefernbruchwaldtorf (Hulk) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart/Hulb,,Hulb,Bodenart Birkenbruchwaldtorf (Hulb) der Bodenkundlichen Kartieranleitung 5. Ausgabe.,,https://registry.gdi-de.org/codelist/governance-level/national-technical,,https://registry.gdi-de.org/codelist/de.bund.thuenen/bodenart,Bodenarten,,,https://registry.gdi-de.org/codelist/status/valid,Valid,0,0
